timestamp rx_bytes tx_bytes
1556308900250 145251841487 145011465727
1556308900259 145251841487 145011465727
1556308900268 145251841487 145011465727
1556308900276 145251841487 145011465727
1556308900284 145251841487 145011465727
1556308900293 145251841487 145011465727
1556308900312 145251841487 145011465727
1556308900321 145251841487 145011465727
1556308900330 145251841487 145011465727
1556308900341 145251841487 145011465727
1556308900350 145251841487 145011465727
1556308900359 145251841487 145011465727
1556308900370 145251841487 145011465727
1556308900379 145251841487 145011465727
1556308900395 145251841487 145011465727
1556308900404 145251841487 145011465727
1556308900415 145251841487 145011465727
1556308900426 145251841487 145011465727
1556308900436 145251841487 145011465727
1556308900449 145251841487 145011465727
1556308900460 145251841487 145011465727
1556308900469 145251841487 145011465727
1556308900477 145251841487 145011465727
1556308900592 145251841487 145011465727
1556308900602 145251841487 145011465727
1556308900611 145251841487 145011465727
1556308900621 145251841487 145011465727
1556308900634 145251841487 145011465727
1556308900644 145251841487 145011465727
1556308900653 145251841487 145011465727
1556308900662 145251841487 145011465727
1556308900675 145251841487 145011465727
1556308900686 145251841487 145011465727
1556308900697 145251841487 145011465727
1556308900707 145251841487 145011465727
1556308900716 145251841487 145011465727
1556308900766 145251841487 145011465727
1556308900823 145251841487 145011465727
1556308900836 145251841487 145011465727
1556308900845 145251841487 145011465727
1556308900867 145251841487 145011465727
1556308900876 145251841487 145011465727
1556308900886 145251841487 145011465727
1556308900901 145251841487 145011465727
1556308900910 145251841487 145011465727
1556308900921 145251841487 145011465727
1556308900933 145251841487 145011465727
1556308900946 145251841487 145011465727
1556308900959 145251841487 145011465727
1556308900968 145251841487 145011465727
1556308900976 145251841487 145011465727
1556308900988 145251841487 145011465727
1556308900998 145251841487 145011465727
1556308901008 145251841487 145011465727
1556308901019 145251841487 145011465727
1556308901027 145251841487 145011465727
1556308901037 145251841487 145011465727
1556308901046 145251841487 145011465727
1556308901056 145251841487 145011465727
1556308901065 145251841487 145011465727
1556308901076 145251841487 145011465727
1556308901085 145251841487 145011465727
1556308901094 145251841487 145011465727
1556308901112 145251841487 145011465727
1556308901138 145251841487 145011465727
1556308901149 145251841487 145011465727
1556308901164 145251841487 145011465727
1556308901196 145251841487 145011465727
1556308901208 145251841487 145011465727
1556308901223 145251841487 145011465727
1556308901232 145251841487 145011465727
1556308901248 145251841487 145011465727
1556308901261 145251841487 145011465727
1556308901276 145251841487 145011465727
1556308901294 145251841487 145011465727
1556308901303 145251841487 145011465727
1556308901320 145251841487 145011465727
1556308901334 145251841487 145011465727
1556308901352 145251841487 145011465727
1556308901363 145251841487 145011465727
1556308901375 145251841487 145011465727
1556308901385 145251841487 145011465727
1556308901399 145251841487 145011465727
1556308901410 145251841487 145011465727
1556308901422 145251841487 145011465727
1556308901436 145251841487 145011465727
1556308901451 145251841487 145011465727
1556308901460 145251897865 145011505373
1556308901470 145251897865 145011505373
1556308901479 145251897865 145011505373
1556308901490 145251897865 145011505373
1556308901499 145251897865 145011505373
1556308901510 145251897865 145011505373
1556308901520 145251897865 145011505373
1556308901529 145251897865 145011505373
1556308901540 145251897865 145011505373
1556308901548 145251897865 145011505373
1556308901560 145251897865 145011505373
1556308901583 145251897865 145011505373
1556308901592 145251897865 145011505373
1556308901612 145251897865 145011505373
1556308901625 145251897865 145011505373
1556308901635 145251897865 145011505373
1556308901645 145251897865 145011505373
1556308901658 145251897865 145011505373
1556308901669 145251897865 145011505373
1556308901681 145251897865 145011505373
1556308901694 145251897865 145011505373
1556308901704 145251897865 145011505373
1556308901713 145251897865 145011505373
1556308901722 145251897865 145011505373
1556308901736 145251897865 145011505373
1556308901748 145251897865 145011505373
1556308901758 145251897865 145011505373
1556308901768 145251897865 145011505373
1556308901778 145251897865 145011505373
1556308901788 145251897865 145011505373
1556308901797 145251897865 145011505373
1556308901807 145251897865 145011505373
1556308901824 145251897865 145011505373
1556308901835 145251897865 145011505373
1556308901850 145251897865 145011505373
1556308901859 145251897865 145011505373
1556308901868 145251897865 145011505373
1556308901880 145251897865 145011505373
1556308901890 145251897865 145011505373
1556308901899 145251897865 145011505373
1556308901907 145251897865 145011505373
1556308901916 145251897865 145011505373
1556308901925 145251897865 145011505373
1556308901934 145251897865 145011505373
1556308901943 145251897865 145011505373
1556308901954 145251897865 145011505373
1556308901969 145251897865 145011505373
1556308901978 145251897865 145011505373
1556308901987 145251897865 145011505373
1556308901995 145251897865 145011505373
1556308902004 145251897865 145011505373
1556308902014 145251897865 145011505373
1556308902024 145251897865 145011505373
1556308902034 145251897865 145011505373
1556308902046 145251897865 145011505373
1556308902055 145251897865 145011505373
1556308902064 145251897865 145011505373
1556308902074 145251897865 145011505373
1556308902084 145251897865 145011505373
1556308902096 145251897865 145011505373
1556308902105 145251897865 145011505373
1556308902122 145251897865 145011505373
1556308902134 145251897865 145011505373
1556308902151 145251897865 145011505373
1556308902160 145251897865 145011505373
1556308902169 145251897865 145011505373
1556308902178 145251897865 145011505373
1556308902188 145251897865 145011505373
1556308902198 145251897865 145011505373
1556308902209 145251897865 145011505373
1556308902218 145251897865 145011505373
1556308902229 145251897865 145011505373
1556308902238 145251897865 145011505373
1556308902247 145251897865 145011505373
1556308902257 145251897865 145011505373
1556308902266 145251897865 145011505373
1556308902279 145251897865 145011505373
1556308902288 145251897865 145011505373
1556308902298 145251897865 145011505373
1556308902308 145251897865 145011505373
1556308902317 145251897865 145011505373
1556308902327 145251897865 145011505373
1556308902337 145251897865 145011505373
1556308902346 145251897865 145011505373
1556308902354 145251897865 145011505373
1556308902363 145251897865 145011505373
1556308902371 145251897865 145011505373
1556308902380 145251897865 145011505373
1556308902389 145251897865 145011505373
1556308902397 145251897865 145011505373
1556308902406 145251897865 145011505373
1556308902414 145251897865 145011505373
1556308902423 145251897865 145011505373
1556308902432 145251897865 145011505373
1556308902440 145251897865 145011505373
1556308902449 145251897865 145011505373
1556308902457 145251897865 145011505373
1556308902466 145251897865 145011505373
1556308902475 145251897865 145011505373
1556308902483 145251897865 145011505373
1556308902491 145251897865 145011505373
1556308902500 145251897865 145011505373
1556308902508 145251897865 145011505373
1556308902517 145251897865 145011505373
1556308902529 145251897865 145011505373
1556308902538 145251897865 145011505373
1556308902547 145251897865 145011505373
1556308902556 145251897865 145011505373
1556308902565 145251897865 145011505373
1556308902578 145251897865 145011505373
